0,1,2
0.01,-0.6,5.760671997336291e-12
0.01,-0.58,3.107046130770565e-11
0.01,-0.56,1.5828618294568828e-10
0.01,-0.54,7.616472618559089e-10
0.01,-0.52,3.4615906102171426e-09
0.01,-0.5,1.4859504736282603e-08
0.01,-0.48,6.024709575029473e-08
0.01,-0.45999999999999996,2.3071074435234655e-07
0.01,-0.43999999999999995,8.34442885207952e-07
0.01,-0.41999999999999993,2.850493381126063e-06
0.01,-0.4,9.196783210155806e-06
0.01,-0.38,2.8024799990993258e-05
0.01,-0.36,8.065628162700197e-05
0.01,-0.33999999999999997,0.00021924094298332364
0.01,-0.31999999999999995,0.0005628489028080375
0.01,-0.29999999999999993,0.0013647332928515554
0.01,-0.2799999999999999,0.0031252792093969272
0.01,-0.26,0.006759496645788916
0.01,-0.24,0.013807782612209267
0.01,-0.21999999999999997,0.02663895827255236
0.01,-0.19999999999999996,0.04853935503696885
0.01,-0.17999999999999994,0.083532227568345
0.01,-0.15999999999999992,0.13576796669683025
0.01,-0.14,0.2084124665125302
0.01,-0.12,0.30215735911099495
0.01,-0.09999999999999998,0.4137383340819011
0.01,-0.07999999999999996,0.5350587427410411
0.01,-0.05999999999999994,0.6535221457761702
0.01,-0.039999999999999925,0.7538801683357104
0.01,-0.019999999999999907,0.8213485888789196
0.01,0.0,0.8451541192056728
0.01,0.020000000000000018,0.8213485888789219
0.01,0.040000000000000036,0.753880168335706
0.01,0.06000000000000005,0.6535221457761754
0.01,0.08000000000000007,0.5350587427410425
0.01,0.10000000000000009,0.41373833408189725
0.01,0.1200000000000001,0.30215735911098923
0.01,0.14000000000000012,0.20841246651253065
0.01,0.16000000000000014,0.13576796669683217
0.01,0.18000000000000016,0.0835322275683455
0.01,0.19999999999999996,0.04853935503696991
0.01,0.21999999999999997,0.026638958272552322
0.01,0.24,0.013807782612209243
0.01,0.26,0.006759496645788904
0.01,0.28,0.0031252792093969216
0.01,0.30000000000000004,0.0013647332928515585
0.01,0.32000000000000006,0.0005628489028080409
0.01,0.3400000000000001,0.00021924094298332272
0.01,0.3600000000000001,8.065628162700027e-05
0.01,0.3800000000000001,2.8024799990992817e-05
0.01,0.40000000000000013,9.196783210155769e-06
0.01,0.42000000000000015,2.8504933811260776e-06
