0,1,2
0.01,-0.56,9.706244e-05
0.01,-0.54,9.840354e-05
0.01,-0.52,9.764731e-05
0.01,-0.5,9.4439834e-05
0.01,-0.48,8.825585e-05
0.01,-0.46,7.912144e-05
0.01,-0.44,6.7293644e-05
0.01,-0.42,5.3964555e-05
0.01,-0.4,4.323572e-05
0.01,-0.38,4.5415014e-05
0.01,-0.36,8.5201114e-05
0.01,-0.34,0.00021868944
0.01,-0.32,0.0005667135
0.01,-0.3,0.001380749
0.01,-0.28,0.0031551458
0.01,-0.26,0.00680032
0.01,-0.24,0.013860472
0.01,-0.22,0.026711687
0.01,-0.2,0.048632443
0.01,-0.18,0.083625
0.01,-0.16,0.13584866
0.01,-0.14,0.20849504
0.01,-0.12,0.30224293
0.01,-0.1,0.41382402
0.01,-0.08,0.53514934
0.01,-0.06,0.6535982
0.01,-0.04,0.7539129
0.01,-0.02,0.8213227
0.01,0.0,0.84507537
0.01,0.02,0.8212459
0.01,0.04,0.7537887
0.01,0.06,0.65344536
0.01,0.08,0.5349792
0.01,0.1,0.41364902
0.01,0.12,0.302068
0.01,0.14,0.20833762
0.01,0.16,0.13571937
0.01,0.18,0.083504334
0.01,0.2,0.048513073
0.01,0.22,0.02660337
0.01,0.24,0.013767824
0.01,0.26,0.006725535
0.01,0.28,0.0031068325
0.01,0.3,0.0013710074
0.01,0.32,0.0006023422
0.01,0.34,0.00029581785
0.01,0.36,0.00019165128
0.01,0.38,0.00016426295
0.01,0.4,0.00015794486
0.01,0.42,0.00015091151
0.01,0.44,0.00013704598
0.01,0.46,0.00011661276
0.01,0.48,9.218976e-05
0.01,0.5,6.6470355e-05
0.01,0.52,4.1939318e-05
0.01,0.54,2.041459e-05
0.01,0.56,2.8200448e-06
0.01,0.58,-1.0162592e-05
0.01,0.6,-1.8373132e-05
0.01,0.62,-2.2001565e-05
0.01,0.64,-2.1565706e-05
0.01,0.66,-1.744926e-05
0.01,0.68,-1.04904175e-05
0.01,0.7,-1.4156103e-06
0.01,0.72,9.074807e-06
0.01,0.74,2.032891e-05
0.01,0.76,3.155321e-05
0.01,0.78,4.2062253e-05
0.01,0.8,5.126372e-05
0.01,0.82,5.8472157e-05
0.01,0.84,6.3378364e-05
0.01,0.86,6.522611e-05
0.01,0.88,6.3899904e-05
0.01,0.9,5.8799982e-05
0.01,0.92,4.9732625e-05
0.01,0.94,3.631413e-05
0.01,0.96,1.8440187e-05
0.01,0.98,-4.157424e-06
0.02,-1.0,8.78796e-06
0.02,-0.98,4.902482e-06
0.02,-0.96,2.30968e-06
0.02,-0.94,9.760261e-07
0.02,-0.92,8.2701445e-07
0.02,-0.9,1.911074e-06
0.02,-0.88,4.10527e-06
0.02,-0.86,7.4729323e-06
0.02,-0.84,1.1824071e-05
0.02,-0.82,1.7218292e-05
0.02,-0.8,2.349168e-05
0.02,-0.78,3.0513853e-05
0.02,-0.76,3.8154423e-05
0.02,-0.74,4.625693e-05
0.02,-0.72,5.4694712e-05
0.02,-0.7,6.3076615e-05
0.02,-0.68,7.139146e-05
0.02,-0.66,7.9166144e-05
0.02,-0.64,8.615479e-05
0.02,-0.62,9.204075e-05
0.02,-0.6,9.6425414e-05
0.02,-0.58,9.88543e-05
0.02,-0.56,9.902939e-05
0.02,-0.54,9.6488744e-05
0.02,-0.52,9.095669e-05
0.02,-0.5,8.2455575e-05
0.02,-0.48,7.169321e-05
0.02,-0.46,6.104261e-05
0.02,-0.44,5.5532902e-05
0.02,-0.42,6.679818e-05
0.02,-0.4,0.00011831522
0.02,-0.38,0.0002568923
0.02,-0.36,0.00057354197
0.02,-0.34,0.0012379289
0.02,-0.32,0.0025569275
0.02,-0.3,0.0050579906
0.02,-0.28,0.009595312
0.02,-0.26,0.01745519
0.02,-0.24,0.03041413
0.02,-0.22,0.05070273
0.02,-0.2,0.080834225
0.02,-0.18,0.12326458
0.02,-0.16,0.17982079
0.02,-0.14,0.25094354
0.02,-0.12,0.33498234
0.02,-0.1,0.4277379
0.02,-0.08,0.5224291
0.02,-0.06,0.61033046
0.02,-0.04,0.68203264
0.02,-0.02,0.7290406
0.02,0.0,0.7454092
0.02,0.02,0.72900146
0.02,0.04,0.681959
0.02,0.06,0.61022437
0.02,0.08,0.52229476
0.02,0.1,0.42759395
0.02,0.12,0.33483994
0.02,0.14,0.25080025
0.02,0.16,0.1796829
0.02,0.18,0.12313756
0.02,0.2,0.080718145
0.02,0.22,0.050606884
0.02,0.24,0.030344993
0.02,0.26,0.017406583
0.02,0.28,0.009558897
0.02,0.3,0.005033925
0.02,0.32,0.0025536828
0.02,0.34,0.0012633838
0.02,0.36,0.0006290898
0.02,0.38,0.00033608824
0.02,0.4,0.00020934641
0.02,0.42,0.00015646592
0.02,0.44,0.00013193488
0.02,0.46,0.00011527538
0.02,0.48,9.853393e-05
0.02,0.5,8.007884e-05
0.02,0.52,6.0521066e-05
0.02,0.54,4.1253865e-05
